Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021,04-21-2021,04-22-2021,04-23-2021,04-24-2021,04-25-2021,04-26-2021,04-27-2021,04-28-2021,04-29-2021,04-30-2021,05-01-2021,05-02-2021,05-03-2021,05-04-2021,05-05-2021,05-06-2021,05-07-2021,05-08-2021,05-09-2021,05-10-2021,05-11-2021,05-12-2021,05-13-2021,05-14-2021,05-15-2021,05-16-2021,05-17-2021,05-18-2021,05-19-2021,05-20-2021,05-21-2021,05-22-2021,05-23-2021,05-24-2021,05-25-2021,05-26-2021,05-27-2021,05-28-2021,05-29-2021,05-30-2021,05-31-2021,06-01-2021,06-02-2021,06-03-2021,06-04-2021,06-05-2021,06-06-2021,06-07-2021
,Aguascalientes,Mexico,919,931,950,951,952,956,962,970,973,973,1006,1008,1029,1049,1057,1057,1113,1080,1081,1090,1114,1123,1138,1145,1145,1151,1175,1186,1200,1209,1218,1218,1218,1236,1246,1257,1262,1283,1283,1284,1306,1311,1328,1330,1330,1331,1331,1349,1364,1369,1371,1373,1374,1378,1396,1405,1414,1428,1444,1447,1447,1464,1474,1486,1492,1497,1498,1498,1521,1530,1530,1558,1592,1592,1592,1624,1652,1667,1686,1725,1729,1735,1736,1771,1771,1794,1805,1805,1805,1831,1842,1858,1880,1893,1893,1894,1906,1912,1926,1940,1950,1950,1951,1971,1984,1990,1993,1997,1997,1997,2008,2025,2031,2031,2034,2035,2039,2049,2053,2060,2065,2068,2070,2071,2071,2081,2089,2102,2106,2107,2107,2141,2144,2147,2149,2151,2151,2151,2148,2154,2158,2162,2162,2162,2162,2177,2185,2193,2198,2273,2273,2273,2279,2289,2299,2309,2311,2315,2317,2333,2338,2344,2350,2353,2354,2354,2359,2364,2369,2371,2372,2372,2372,2385,2385,2386,2387,2389,2389,2390,2395,2396,2398,2401,2401,2401,2401,2403,2403,2404,2404,2405,2405,2405,2409,2413,2416,2418,2418,2418,2418,2421,2422,2425,2427,2428,2428,2428
,Baja California,Mexico,4042,4054,4081,4085,4091,4094,4108,4119,4147,4147,4172,4186,4207,4234,4264,4264,4258,4319,4329,4356,4379,4394,4435,4509,4528,4546,4583,4628,4662,4692,4751,4760,4783,4817,4825,4857,4929,4960,4962,4988,5028,5098,5180,5220,5233,5273,5306,5388,5458,5524,5559,5591,5615,5633,5710,5766,5831,5889,5945,5981,6003,6075,6119,6176,6234,6269,6289,6320,6358,6413,6413,6511,6542,6554,6582,6634,6675,6698,6749,6789,6801,6820,6837,6860,6860,6939,6973,6983,7005,7024,7062,7095,7133,7156,7161,7170,7186,7218,7233,7251,7280,7281,7287,7306,7325,7336,7349,7356,7357,7359,7433,7454,7466,7490,7554,7566,7573,7595,7626,7640,7652,7663,7664,7667,7668,7671,7687,7701,7718,7720,7723,7736,7741,7747,7754,7764,7765,7765,7771,7791,7799,7802,7808,7810,7810,7819,7834,7846,7857,7967,7971,7975,7983,7984,7989,7999,8009,8011,8012,8019,8027,8031,8032,8035,8038,8039,8042,8046,8049,8051,8055,8055,8055,8059,8060,8063,8114,8117,8117,8118,8119,8136,8158,8161,8163,8163,8163,8168,8170,8189,8204,8212,8213,8215,8223,8230,8232,8234,8241,8252,8252,8557,8563,8564,8567,8574,8574,8576
,Baja California Sur,Mexico,627,631,636,636,639,644,648,650,651,651,653,655,660,660,662,662,665,667,667,669,673,674,677,681,682,683,685,700,703,704,709,709,709,712,717,736,738,743,743,744,748,749,750,751,751,751,751,763,769,775,784,784,784,784,793,793,796,799,805,805,805,812,820,828,831,835,835,836,846,862,862,886,910,910,910,926,933,942,952,958,958,958,958,963,963,1011,1026,1027,1027,1071,1089,1091,1107,1115,1115,1115,1124,1127,1143,1146,1154,1155,1155,1163,1175,1180,1190,1196,1197,1197,1204,1207,1216,1217,1219,1219,1219,1219,1218,1220,1221,1228,1228,1228,1228,1233,1239,1242,1243,1243,1243,1247,1250,1251,1254,1259,1259,1259,1268,1271,1273,1273,1274,1274,1274,1281,1287,1287,1290,1295,1295,1295,1297,1300,1302,1307,1308,1308,1308,1316,1333,1333,1337,1337,1337,1337,1340,1343,1345,1359,1360,1361,1361,1364,1367,1367,1370,1373,1373,1373,1373,1375,1378,1384,1387,1387,1387,1389,1393,1402,1404,1407,1407,1407,1412,1416,1427,1433,1437,1437,1437,1439,1444,1449,1452,1454,1454,1454
,Campeche,Mexico,861,862,862,877,889,889,889,892,894,894,898,898,900,905,909,909,920,914,917,920,923,923,923,926,929,932,935,939,942,945,946,946,946,946,946,948,948,951,951,951,958,960,960,963,963,963,963,964,965,969,972,972,972,973,973,974,975,975,980,980,982,984,984,984,987,988,989,990,991,993,993,997,997,998,1000,1000,1001,1002,1005,1007,1008,1008,1010,1011,1011,1016,1020,1020,1020,1021,1026,1028,1030,1036,1037,1039,1039,1042,1043,1046,1049,1053,1055,1055,1057,1057,1058,1059,1061,1062,1064,1065,1066,1067,1067,1067,1068,1069,1074,1074,1077,1077,1078,1078,1078,1080,1081,1082,1083,1083,1084,1097,1100,1103,1104,1106,1107,1111,1114,1126,1128,1128,1128,1130,1130,1130,1132,1133,1136,1142,1144,1146,1147,1152,1155,1155,1157,1159,1161,1169,1175,1180,1181,1181,1181,1181,1181,1183,1184,1184,1190,1191,1191,1192,1192,1200,1203,1204,1204,1206,1208,1208,1210,1210,1215,1215,1217,1218,1218,1222,1222,1225,1225,1226,1225,1225,1225,1226,1227,1227,1228,1230,1230,1232,1232,1232,1232,1235
,Chiapas,Mexico,1170,1170,1170,1170,1170,1170,1172,1172,1172,1172,1172,1172,1172,1172,1173,1173,1089,1173,1173,1173,1173,1173,1173,1173,1173,1174,1175,1176,1176,1177,1177,1177,1177,1179,1181,1183,1188,1190,1190,1190,1190,1192,1193,1193,1193,1194,1196,1198,1198,1201,1206,1207,1210,1212,1217,1219,1222,1223,1231,1236,1239,1241,1248,1249,1257,1258,1259,1262,1267,1273,1273,1279,1289,1291,1295,1298,1309,1315,1330,1349,1352,1358,1359,1366,1366,1373,1375,1376,1379,1386,1387,1389,1391,1392,1396,1400,1402,1404,1405,1408,1411,1413,1415,1417,1421,1423,1424,1427,1430,1435,1436,1439,1440,1443,1446,1449,1451,1452,1453,1457,1459,1462,1463,1463,1463,1466,1468,1469,1470,1470,1472,1475,1477,1477,1479,1479,1480,1480,1481,1484,1485,1485,1487,1488,1490,1495,1496,1497,1498,1524,1524,1526,1526,1526,1527,1528,1529,1529,1529,1530,1530,1532,1532,1533,1534,1534,1534,1534,1535,1538,1539,1539,1539,1543,1545,1547,1550,1552,1552,1554,1555,1557,1557,1557,1557,1560,1561,1561,1563,1564,1564,1567,1567,1567,1567,1570,1570,1572,1573,1573,1573,1643,1643,1644,1647,1647,1647,1647
,Chihuahua,Mexico,2591,2659,2742,2748,2778,2815,2859,2929,3043,3043,3159,3171,3238,3344,3430,3430,3552,3572,3577,3648,3720,3759,3817,3851,3871,3876,3925,3972,4003,4052,4072,4083,4086,4111,4163,4213,4226,4239,4241,4248,4290,4308,4325,4340,4340,4345,4353,4387,4401,4413,4440,4440,4440,4450,4476,4490,4509,4525,4540,4552,4554,4583,4598,4615,4633,4652,4653,4657,4690,4739,4739,4784,4805,4809,4810,4835,4854,4863,4888,4914,4920,4921,4922,4945,4945,4966,4976,4981,4985,5003,5018,5029,5038,5048,5048,5055,5065,5074,5082,5098,5108,5108,5110,5186,5197,5221,5226,5240,5242,5244,5266,5282,5297,5325,5331,5333,5334,5366,5377,5392,5402,5405,5407,5409,5411,5435,5448,5471,5484,5485,5485,5504,5518,5537,5546,5558,5563,5565,5580,5589,5597,5601,5604,5605,5609,5638,5662,5679,5950,6343,6344,6351,6375,6399,6401,6439,6488,6488,6492,6531,6551,6571,6582,6596,6598,6600,6618,6639,6658,6676,6689,6692,6692,6724,6735,6748,6770,6781,6791,6792,6798,6821,6843,6853,6867,6869,6871,6887,6887,6897,6905,6916,6917,6920,6926,6936,6945,6959,6966,6967,6968,7377,7385,7390,7394,7398,7399,7399
,Ciudad de Mexico,Mexico,12279,12378,12500,12593,12686,12707,12769,12836,12910,12910,12988,13032,13131,13235,13315,13315,17484,13509,13558,13638,13746,13814,13911,13988,14021,14096,14184,14286,14403,14500,14611,14643,14733,14837,14969,15083,15222,15336,15432,15560,15679,15786,15947,16035,16064,16143,16249,16385,16572,16754,16873,16955,17028,17181,17345,17526,17752,17897,18060,18151,18333,18502,18710,18901,19131,19306,19417,19531,19789,20028,20028,20517,20745,20864,21018,21309,21698,21951,22167,22405,22474,22601,22667,22916,22916,23451,23724,23786,23883,24120,24315,24563,24821,25065,25169,25292,25486,25643,25834,25990,26167,26242,26345,26522,26713,26869,27037,27199,27319,27427,27560,27711,27909,28008,28163,28230,28345,28462,28612,28754,28870,29047,29109,29214,29257,29385,29500,29582,29701,29746,29787,29902,29969,30062,30141,30254,30278,30329,30457,30534,30605,30630,30661,30686,30741,30821,30884,30958,31025,31509,31535,31585,31684,31771,31813,31882,31942,31970,32003,32091,32136,32183,32241,32290,32313,32339,32392,32443,32502,32567,32592,32607,32622,32650,32690,32733,32787,32820,32825,32835,32857,32889,32905,32936,32981,32991,32998,33028,33045,33071,33078,33100,33107,33114,33128,33160,33161,33171,33198,33200,33203,34206,34248,34268,34276,34276,34281,34286
,Coahuila,Mexico,2748,2795,2813,2836,2853,2862,2925,2958,3001,3001,3057,3069,3133,3176,3202,3202,3286,3272,3296,3401,3426,3458,3492,3525,3541,3567,3612,3633,3661,3691,3728,3743,3755,3787,3796,3818,3846,3886,3890,3899,3930,3964,4000,4035,4042,4069,4078,4119,4158,4181,4198,4207,4230,4238,4264,4304,4329,4363,4392,4415,4438,4486,4539,4575,4648,4679,4696,4705,4760,4828,4828,4929,4960,4985,4995,5049,5090,5136,5161,5197,5214,5224,5230,5286,5286,5347,5371,5383,5388,5423,5430,5451,5475,5499,5508,5514,5535,5557,5573,5581,5593,5598,5606,5623,5639,5649,5654,5668,5672,5676,5689,5703,5705,5718,5725,5725,5729,5750,5750,5751,5763,5773,5773,5773,5773,5787,5793,5809,5811,5812,5812,5828,5833,5841,5844,5850,5854,5855,5862,5869,5874,5877,5877,5877,5880,5884,5888,5908,5921,6124,6122,6124,6125,6128,6138,6148,6151,6152,6153,6154,6156,6162,6164,6165,6169,6171,6179,6186,6194,6196,6216,6216,6217,6220,6226,6226,6229,6231,6231,6231,6234,6237,6237,6240,6243,6244,6244,6246,6246,6247,6250,6252,6252,6252,6252,6252,6255,6256,6262,6262,6262,6310,6313,6317,6319,6320,6320,6320
,Colima,Mexico,724,726,727,729,729,732,733,734,735,735,738,741,741,744,746,746,802,751,752,752,754,754,755,758,759,760,764,766,767,769,771,771,773,778,780,783,784,784,784,785,785,786,788,789,789,790,792,795,797,799,799,800,800,802,810,812,813,816,818,819,823,826,827,831,834,839,839,839,845,849,849,862,868,871,875,881,891,897,913,920,927,931,931,936,936,957,963,972,979,983,990,993,1003,1006,1007,1009,1020,1023,1027,1032,1036,1039,1040,1049,1056,1071,1075,1075,1077,1081,1084,1088,1092,1093,1098,1098,1100,1101,1107,1112,1113,1114,1116,1116,1116,1120,1122,1123,1124,1127,1128,1130,1132,1132,1135,1138,1138,1138,1141,1142,1142,1142,1142,1143,1144,1146,1147,1153,1156,1156,1156,1157,1160,1162,1162,1163,1163,1163,1165,1168,1170,1170,1171,1171,1172,1174,1175,1176,1177,1178,1178,1178,1179,1179,1181,1181,1181,1182,1183,1183,1183,1183,1183,1184,1184,1184,1185,1187,1187,1190,1190,1190,1191,1192,1192,1194,1194,1195,1196,1196,1197,1198,1198,1199,1200,1200,1200,1200
,Durango,Mexico,959,974,983,983,983,983,984,1036,1049,1049,1059,1059,1073,1126,1131,1131,1121,1157,1157,1180,1240,1256,1272,1279,1280,1280,1319,1368,1371,1383,1390,1390,1390,1413,1425,1431,1449,1453,1453,1453,1468,1499,1504,1507,1507,1507,1507,1521,1536,1544,1555,1556,1560,1560,1572,1591,1612,1618,1652,1652,1652,1680,1690,1704,1721,1724,1724,1724,1766,1777,1777,1789,1801,1802,1802,1822,1829,1842,1859,1873,1873,1873,1873,1902,1902,1920,1932,1932,1932,1944,1957,1971,1984,1988,1997,1997,2019,2022,2033,2040,2043,2043,2043,2058,2068,2072,2084,2090,2090,2090,2095,2104,2107,2116,2118,2118,2118,2129,2131,2138,2149,2160,2160,2160,2160,2176,2183,2190,2197,2196,2199,2229,2233,2237,2248,2251,2251,2251,2256,2259,2271,2274,2274,2274,2275,2289,2295,2305,2309,2316,2316,2316,2330,2330,2333,2337,2337,2337,2337,2348,2357,2359,2361,2363,2364,2364,2373,2384,2389,2396,2409,2409,2409,2411,2413,2415,2417,2425,2425,2425,2426,2426,2434,2435,2436,2436,2436,2441,2442,2445,2445,2450,2450,2451,2451,2452,2456,2456,2460,2460,2460,2464,2466,2478,2484,2485,2485,2485
