Admin2,Province/State,Country/Region,07-12-2022,07-13-2022,07-14-2022,07-15-2022,07-16-2022,07-17-2022,07-18-2022,07-19-2022,07-20-2022,07-21-2022,07-22-2022,07-23-2022,07-24-2022,07-25-2022,07-26-2022,07-27-2022
,Cherkasy Oblast,Ukraine,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973
,Chernihiv Oblast,Ukraine,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751
,Chernivtsi Oblast,Ukraine,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290
,Crimea Republic*,Ukraine,5329,5330,5331,5333,5333,5333,5333,5335,5335,5337,5337,5338,5338,5339,5339,5341
,Dnipropetrovsk Oblast,Ukraine,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454,9454
,Donetsk Oblast,Ukraine,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607,5607
,Ivano-Frankivsk Oblast,Ukraine,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476
,Kharkiv Oblast,Ukraine,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858,6858
,Kherson Oblast,Ukraine,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881,2881
,Khmelnytskyi Oblast,Ukraine,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703
,Kiev,Ukraine,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966,8966
,Kiev Oblast,Ukraine,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019,5019
,Kirovohrad Oblast,Ukraine,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741
,Luhansk Oblast,Ukraine,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392
,Lviv Oblast,Ukraine,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569
,Mykolaiv Oblast,Ukraine,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530
,Odessa Oblast,Ukraine,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917
,Poltava Oblast,Ukraine,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181,4181
,Rivne Oblast,Ukraine,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530,2530
,Sevastopol*,Ukraine,2398,2398,2399,2399,2400,2401,2401,2402,2403,2404,2405,2406,2406,2406,2407,2408
,Sumy Oblast,Ukraine,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208
,Ternopil Oblast,Ukraine,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
,Unknown,Ukraine,0,3166,3166,3185,3185,3185,3185,3185,3185,3185,3194,3194,3194,3194,3194,3194
,Vinnytsia Oblast,Ukraine,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546,3546
,Volyn Oblast,Ukraine,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394
,Zakarpattia Oblast,Ukraine,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724
,Zaporizhia Oblast,Ukraine,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866
,Zhytomyr Oblast,Ukraine,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538
