Admin2,Province/State,Country/Region,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021
,Alberta,Canada,35695,36582,37316,38369,39381,40219,41182,42305,43464,44705,46018,47328,48467,49603,51000,52636,54225,55947,57613,58818,60130,61934,63668,65513,67159,68832,70167,71434,73298,75070,75070,75070,75070,75070,81780,83328,84827,84827,84827,84827,84827,90554,91799,92858,93954,94783,94932,96052,96867,98178
,British Columbia,Canada,19605,19814,19998,21304,21304,21304,23111,23774,24424,24928,25658,25658,25658,27287,27897,28448,28948,29598,29598,29598,31207,31866,32376,32963,33589,33589,33589,35455,36094,36952,37784,37784,37784,37784,37784,41175,41681,42127,42127,42127,42127,45229,45999,46728,47374,48205,48205,48205,50541,51144
,Diamond Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grand Princess,Canada,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
,Manitoba,Canada,5633,5893,6177,6487,6804,7010,7253,7713,8072,8268,8535,8927,9195,13262,13577,13869,14116,14410,14637,14805,14974,15265,15506,15681,16248,16406,16541,16717,18208,18349,18518,18518,18518,19012,19156,19302,19408,19528,19528,19789,19982,20133,20252,20376,20519,20655,20769,20850,22295,22692
,New Brunswick,Canada,350,352,353,356,363,369,374,385,388,402,410,425,445,448,452,461,464,468,475,484,490,503,507,509,512,520,520,521,525,530,534,536,543,549,551,555,560,561,567,567,567,570,572,573,577,582,584,585,586,586
,Newfoundland and Labrador,Canada,295,295,295,296,297,297,298,302,306,307,312,317,317,319,320,329,330,331,331,332,332,335,337,339,341,342,344,347,347,354,356,356,356,359,363,364,365,366,366,372,374,374,374,376,376,376,381,381,381,382
,Northwest Territories,Canada,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,Nova Scotia,Canada,1075,1076,1078,1078,1078,1078,1102,1108,1140,1159,1176,1204,1215,1221,1240,1253,1264,1272,1283,1291,1298,1304,1310,1321,1330,1334,1339,1344,1349,1358,1364,1364,1364,1364,1380,1385,1393,1399,1399,1407,1407,1413,1424,1426,1431,1432,1433,1435,1442,1442
,Nunavut,Canada,2,2,5,8,33,65,73,89,113,123,155,158,165,168,176,181,187,189,197,199,207,213,217,222,225,225,225,243,252,255,255,255,255,255,256,259,262,262,262,262,265,265,265,265,265,265,265,265,265,265
,Ontario,Canada,94861,96188,97645,99074,100650,102012,103249,104668,106328,107858,109483,111197,113214,114682,116368,118253,119951,121956,123761,125415,127104,128820,130674,132667,134781,136785,138678,140616,142651,144711,146991,147699,149532,151106,154392,156637,159433,161829,162622,164923,168308,170326,172793,175579,178338,181308,184417,186984,190042,193191
,Prince Edward Island,Canada,68,68,68,68,68,68,68,68,68,68,68,68,69,70,70,70,71,72,72,72,72,73,73,73,73,73,73,73,84,84,89,89,89,89,89,89,89,89,89,89,89,90,93,93,94,94,94,94,94,95
,Quebec,Canada,116624,117551,118491,119727,120906,122014,123177,124200,125197,126179,127549,128828,130018,131297,132573,133692,134910,136646,138270,139850,141345,142894,144168,145532,147398,149245,151044,152869,154673,156275,156275,156275,156275,164163,166066,168061,170045,170045,170045,170045,179456,181205,182602,184904,186996,189937,192979,195663,197938,199920
,Repatriated Travellers,Canada,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
,Saskatchewan,Canada,3919,3998,4176,4384,4521,4589,4638,4875,4959,5173,5356,5484,5530,5589,5868,6121,6466,6853,7566,7694,7767,8130,8283,8749,9234,9452,9557,9649,9872,10121,10775,10775,10775,11275,11275,11680,12057,12496,12496,12975,13084,13180,13298,13737,14014,14237,14426,14426,14588,14814
,Yukon,Canada,23,23,29,29,29,29,29,29,29,39,41,41,41,47,47,47,47,54,54,54,54,57,57,57,57,57,57,57,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,63,63
