Admin2,Province/State,Country/Region,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020
,Antofagasta,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6616,6907,7176,7375,7629,7861,8113,8298,8526,8782,9008,9241,9494,9713,9924,10157,10392,10662,10844,11068,11281,11281,11692,11692,12025,12194,12372,12517,12681,12844,13013,13141,13255,13399,13538,13669,13826,13959,14073,14188,14312,14424,14527,14674,14811,14931,15053,15215,15363,15475,15616,15739,15854,15946,16066,16169,16254,16367,16469,16553,16654,16763,16846,16903,16985,17075,17139,17224,17320,17399,17476,17565,17666,17738,17806,17882,17942,17988,18107,18200,18274,18349,18423,18470,18501,18581,18633,18691,18759,18820,18861,18882,18933,18993,19036,19080,19115,19166,19191,19261,19316,19358,19431,19468,19513,19547,19617,19673,19716,19768,19829,19869,19907,19953,19997,20055,20110,20269,20312,20366,20418,20452,20477,20503,20545,20589,20633,20666,20703,20742,20763,20814,20845,20878,20909,20952,20970,20992,21030,21065,21076,21105,21135,21157,21174,21197,21254,21287,21316,21336,21348,21366,21390,21421,21451,21479,21496,21510,21521,21561,21597,21633,21653,21678,21689,21697,21727,21757,21783,21810,21848,21882,21904,21941,21981,22042,22097,22144,22192,22218,22300,22370,22437,22498,22565
,Araucania,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,2922,2955,2983,3010,3037,3064,3081,3115,3147,3185,3216,3250,3270,3306,3338,3368,3404,3402,3445,3474,3474,3538,3538,3567,3577,3593,3612,3632,3655,3678,3708,3727,3753,3782,3812,3851,3892,3925,3980,4004,4036,4057,4105,4139,4172,4216,4248,4280,4302,4330,4362,4389,4423,4461,4490,4520,4579,4621,4639,4673,4711,4743,4781,4829,4867,4897,4926,4953,4988,5020,5075,5108,5158,5213,5262,5307,5337,5414,5486,5562,5651,5770,5843,5925,6018,6104,6171,6249,6319,6409,6466,6592,6681,6783,6866,6937,7015,7107,7234,7338,7429,7535,7653,7775,7891,8054,8177,8322,8473,8623,8740,8863,9056,9221,9375,9375,10089,10265,10429,10561,10730,10852,10999,11188,11383,11544,11719,11898,12049,12180,12428,12628,12837,13007,13187,13362,13520,13759,13977,14126,14298,14479,14624,14758,14946,15120,15273,15446,15636,15783,15910,16090,16231,16394,16566,16748,16864,16969,17165,17318,17491,17675,17859,17986,18099,18300,18497,18679,18884,19056,19190,19269,19479,19632,19854,20024,20213,20350,20506,20752,20944,21140,21307,21470
,Arica y Parinacota,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1340,1377,1408,1447,1497,1530,1571,1621,1673,1706,1753,1801,1862,1920,1965,2025,2093,2141,2199,2260,2260,2425,2425,2583,2671,2791,2879,2958,3075,3160,3270,3371,3496,3606,3687,3831,3930,4062,4152,4237,4318,4393,4519,4613,4666,4754,4829,4911,4986,5083,5162,5259,5364,5429,5501,5561,5627,5702,5764,5816,5883,5934,5985,6055,6135,6194,6238,6289,6330,6365,6419,6465,6526,6588,6653,6686,6737,6803,6861,6907,6975,7030,7089,7096,7169,7223,7268,7311,7368,7428,7472,7532,7599,7671,7700,7737,7762,7791,7842,7882,7932,7973,8043,8084,8119,8215,8270,8316,8362,8415,8467,8500,8564,8607,8641,8685,8868,8916,8953,8987,9027,9074,9112,9158,9185,9233,9259,9291,9319,9335,9370,9395,9423,9460,9491,9516,9533,9577,9605,9633,9656,9681,9706,9726,9749,9781,9793,9810,9829,9847,9854,9879,9899,9918,9935,9943,9947,9958,9979,9990,10005,10017,10033,10037,10045,10057,10068,10086,10100,10112,10125,10131,10153,10173,10200,10227,10250,10268,10278,10290,10312,10329,10353,10379
,Atacama,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,732,768,790,822,879,920,959,992,1015,1036,1084,1126,1147,1175,1208,1263,1302,1347,1396,1437,1437,1535,1535,1623,1659,1707,1749,1793,1838,1873,1915,1973,2053,2125,2191,2287,2382,2462,2571,2680,2736,2843,2962,3077,3195,3313,3424,3539,3643,3761,3910,4015,4159,4289,4386,4460,4571,4677,4766,4845,4935,4999,5063,5140,5223,5273,5377,5429,5454,5516,5587,5642,5680,5733,5778,5813,5841,5879,5916,5966,6010,6083,6126,6143,6194,6237,6279,6326,6393,6445,6493,6540,6602,6635,6682,6720,6757,6787,6820,6858,6900,6938,6977,7009,7041,7077,7106,7140,7167,7203,7229,7256,7274,7307,7338,7386,7485,7480,7521,7549,7572,7594,7610,7634,7656,7678,7707,7725,7741,7753,7772,7791,7796,7799,7805,7812,7815,7818,7825,7833,7840,7846,7848,7857,7872,7878,7895,7906,7914,7927,7930,7941,7954,7974,7984,7997,7998,8006,8027,8039,8054,8059,8074,8081,8085,8098,8109,8117,8126,8137,8143,8151,8161,8166,8171,8180,8199,8213,8218,8235,8252,8267,8286,8304
,Aysen,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,28,29,30,32,35,35,37,38,40,43,45,46,46,46,46,46,46,49,49,49,52,52,58,59,61,62,63,64,70,70,70,70,71,71,71,71,74,74,75,77,77,80,82,82,84,85,85,85,86,88,88,95,96,96,96,97,98,98,99,99,100,102,104,105,105,105,106,111,112,116,118,125,126,126,126,126,129,135,140,151,155,156,160,168,175,184,192,207,223,229,242,264,283,296,308,331,351,368,384,406,434,474,507,528,548,568,596,608,630,645,660,694,714,737,752,826,852,880,905,916,939,954,963,988,1002,1007,1009,1015,1017,1028,1043,1052,1063,1075,1080,1084,1093,1107,1111,1118,1130,1132,1137,1145,1152,1156,1167,1175,1181,1184,1190,1197,1204,1211,1220,1220,1221,1228,1236,1242,1247,1254,1259,1261,1274,1276,1283,1288,1296,1303,1309,1316,1320,1325,1333,1341,1350,1353,1366,1370,1388,1401,1410
,Biobio,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4523,4760,4976,5196,5395,5603,5829,5977,6172,6386,6593,6762,6930,7059,7185,7327,7481,7632,7765,7884,7998,7998,8285,8285,8577,8695,8826,8941,9093,9264,9415,9594,9743,9896,10052,10181,10368,10557,10721,10893,11076,11207,11337,11503,11644,11784,11926,12057,12220,12374,12560,12762,12941,13110,13319,13452,13590,13799,13958,14144,14313,14528,14672,14869,15137,15364,15566,15790,16013,16239,16466,16759,17019,17265,17471,17735,17946,18135,18429,18656,18907,19164,19404,19590,19779,20018,20238,20455,20645,20827,21016,21201,21393,21575,21754,21916,22078,22238,22430,22648,22862,23053,23235,23417,23544,23691,23877,24043,24198,24359,24498,24639,24770,24950,24143,25310,25522,26294,26539,26748,27015,27210,27365,27521,27743,27979,28140,28318,28498,28651,28807,29012,29224,29427,29616,29801,29997,30192,30441,30669,30886,31085,31317,31492,31723,32007,32289,32553,32757,32989,33203,33417,33662,33906,34170,34402,34675,34882,35125,35474,35765,36015,36301,36598,36841,37111,37445,37750,38102,38436,38760,39076,39345,39739,40099,40482,40793,41177,41512,41824,42221,42667,43038,43433,43752
,Coquimbo,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,2343,2441,2507,2568,2656,2737,2785,2878,2967,3042,3140,3248,3321,3383,3441,3508,3612,3682,3772,3875,3875,4092,4092,4316,4409,4536,4639,4743,4853,4994,5119,5222,5337,5439,5530,5685,5806,5905,6030,6155,6292,6368,6532,6636,6750,6864,6975,7128,7238,7378,7482,7606,7713,7839,7941,8016,8143,8247,8350,8472,8595,8703,8787,8918,9074,9213,9338,9464,9540,9623,9762,9848,9953,10042,10128,10197,10269,10378,10479,10576,10686,10756,10805,10859,10962,11051,11107,11164,11225,11273,11303,11356,11398,11435,11461,11503,11533,11567,11624,11667,11723,11760,11804,11828,11851,11886,11918,11953,11986,12020,12032,12050,12077,12105,12125,12150,12217,12245,12261,12285,12303,12314,12330,12346,12355,12370,12395,12404,12408,12415,12428,12444,12456,12463,12469,12473,12484,12495,12508,12515,12523,12542,12545,12555,12573,12584,12593,12601,12619,12632,12640,12659,12679,12694,12714,12738,12755,12763,12792,12815,12848,12886,12917,12934,12953,13004,13035,13077,13105,13130,13156,13169,13206,13239,13289,13327,13377,13415,13453,13504,13552,13602,13635,13673
,Los Lagos,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,1338,1373,1415,1463,1496,1524,1547,1584,1613,1653,1687,1738,1823,1869,1909,1960,2029,2062,2122,2181,2181,2306,2306,2415,2478,2578,2649,2693,2766,2846,2921,2974,3043,3142,3217,3305,3391,3478,3644,3751,3841,3905,4029,4152,4242,4368,4504,4610,4711,4826,4930,4998,5094,5172,5231,5287,5373,5475,5567,5662,5742,5804,5857,5940,6033,6110,6172,6236,6294,6330,6416,6503,6592,6659,6728,6791,6838,6937,7018,7131,7217,7312,7374,7421,7506,7627,7713,7800,7883,7974,8053,8163,8277,8379,8471,8567,8662,8789,8938,9052,9164,9295,9445,9538,9613,9806,9946,10108,10268,10477,10603,10711,10902,11107,11296,11479,12085,12342,12560,12737,12992,13164,13307,13576,13764,13970,14155,14367,14486,14637,14839,15090,15315,15496,15702,15841,15965,16231,16440,16675,16931,17149,17325,17479,17722,17947,18155,18362,18548,18701,18817,19078,19300,19443,19674,19832,19932,20026,20224,20395,20535,20675,20830,20939,21023,21184,21347,21496,21665,21792,21900,21974,22153,22267,22425,22575,22767,22887,23011,23221,23438,23652,23868,24037
,Los Rios,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,594,606,614,618,633,645,650,659,674,678,689,694,702,709,717,718,716,722,728,733,733,751,751,758,766,774,783,793,812,824,829,829,839,843,849,852,856,860,868,882,884,887,892,903,906,911,921,931,934,938,941,951,959,974,977,981,995,1003,1006,1008,1015,1019,1027,1032,1039,1047,1056,1063,1066,1075,1085,1090,1095,1110,1122,1132,1151,1172,1188,1211,1227,1254,1273,1290,1322,1348,1378,1414,1441,1455,1466,1497,1516,1524,1555,1566,1584,1617,1685,1748,1795,1837,1892,1942,1962,2041,2083,2129,2177,2231,2266,2289,2334,2378,2433,2473,2619,2701,2762,2817,2874,2938,2967,3014,3075,3148,3208,3291,3350,3408,3477,3567,3669,3743,3821,3873,3939,4046,4138,4216,4292,4387,4478,4538,4674,4786,4868,4956,5058,5122,5190,5306,5384,5474,5568,5675,5747,5792,5896,5978,6073,6145,6222,6295,6370,6476,6571,6646,6713,6818,6880,6960,7059,7140,7247,7367,7455,7537,7595,7715,7833,7929,8009,8093
,Magallanes,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,1294,1307,1326,1340,1355,1371,1376,1396,1416,1426,1434,1437,1448,1451,1458,1467,1468,1466,1483,1490,1490,1503,1503,1529,1539,1544,1555,1564,1568,1570,1599,1608,1617,1623,1628,1650,1664,1673,1685,1703,1734,1752,1771,1788,1815,1840,1865,1895,1927,1982,1949,1972,2010,2051,2085,2117,2181,2237,2286,2330,2393,2454,2493,2607,2696,2803,2920,3000,3093,3152,3315,3439,3550,3680,3831,3959,4057,4223,4431,4603,4745,4924,5104,5226,5430,5627,5802,5990,6205,6364,6481,6694,6877,7047,7285,7447,7581,7762,8050,8239,8442,8650,8892,9065,9207,9485,9662,9806,9977,10135,10256,10368,10511,10666,10765,10886,11179,11259,11341,11405,11490,11547,11607,11690,11772,11837,11905,11973,12047,12098,12185,12261,12332,12406,12480,12581,12644,12716,12772,12833,12886,12937,12993,13044,13106,13192,13252,13304,13373,13426,13498,13563,13657,13734,13808,13888,13949,14050,14133,14213,14292,14378,14460,14515,14563,14649,14733,14833,14926,15022,15086,15158,15264,15341,15417,15511,15594,15677,15739,15815,15883,15965,16029,16106
