Admin2,Province/State,Country/Region,02-19-2021
,Anhui,China,988
,Beijing,China,1012
,Chongqing,China,585
,Fujian,China,540
,Gansu,China,185
,Guangdong,China,2126
,Guangxi,China,265
,Guizhou,China,145
,Hainan,China,165
,Hebei,China,1162
,Heilongjiang,China,1576
,Henan,China,1281
,Hong Kong,China,10329
,Hubei,China,63638
,Hunan,China,1023
,Inner Mongolia,China,365
,Jiangsu,China,696
,Jiangxi,China,934
,Jilin,China,516
,Liaoning,China,401
,Macau,China,47
,Ningxia,China,75
,Qinghai,China,18
,Shaanxi,China,534
,Shandong,China,860
,Shanghai,China,1686
,Shanxi,China,237
,Sichuan,China,869
,Tianjin,China,335
,Tibet,China,1
,Unknown,China,1
,Xinjiang,China,977
,Yunnan,China,228
,Zhejiang,China,1310
