Admin2,Province/State,Country/Region,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021
,Amazonas,Colombia,1067,1067,1070,1156,1167,1209,1232,1309,1309,1354,1452,1499,1552,1639,1747,1771,1771,1811,1838,1862,1894,1894,1914,1946,1951,1960,1966,2001,2039,2079,2089,2104,2110,2159,2167,2186,2196,2199,2230,2245,2265,2275,2276,2279,2279,2285,2296,2301,2301,2309,2313,2315,2333,2339,2343,2348,2350,2354,2357,2360,2365,2365,2366,2382,2384,2388,2391,2401,2404,2419,2429,2437,2467,2487,2507,2507,2518,2531,2539,2542,2548,2552,2556,2557,2559,2562,2563,2570,2570,2572,2578,2578,2582,2587,2587,2587,2589,2591,2592,2597,2597,2597,2597,2597,2598,2604,2604,2610,2610,2611,2612,2613,2614,2615,2615,2615,2615,2615,2616,2616,2616,2616,2616,2618,2618,2618,2625,2625,2625,2628,2628,2629,2631,2631,2642,2651,2738,2741,2743,2746,2746,2746,2748,2748,2763,2773,2776,2778,2785,2790,2792,2797,2800,2804,2814,2816,2819,2827,2827,2838,2849,2852,2859,2879,2890,2913,2945,2945,2969,2969,2994,2999,3002,3007,3007,3008,3010,3010,3018,3019,3020,3021,3023,3027,3029,3031,3033,3033,3034,3036,3038,3040,3043,3045,3046,3047,3049,3050,3057,3059,3069,3076,3080,3084,3084,3088,3097,3102,3105,3114,3125,3126,3127,3136,3141,3155,3172,3179,3181,3187,3195,3209,3218,3224,3266,3288,3291,3303,3319,3318,3323,3337,3337,3384,3414,3445,3462,3481,3484,3572,3614,3661,3701,3777,3778,3833,3906,3944,3976,4043,4068,4146,4189,4225,4244,4301,4316,4396,4472,4498,4554,4562,4612,4658,4693,4714,4759,4826,4906,4977,5011,5011,5092,5127,5148,5201,5216,5275,5325,5368,5380,5408,5420,5428,5446,5453,5460,5485,5491,5503,5514,5518,5528,5551,5576,5591,5595,5602,5606,5610,5612,5614,5618,5633,5654,5670,5681,5696,5703
,Antioquia,Colombia,589,589,591,610,659,703,765,782,782,809,862,909,954,1048,1128,1187,1187,1261,1335,1405,1521,1521,1606,1749,1921,2012,2083,2136,2189,2290,2361,2451,2577,2671,2795,2884,2944,3089,3202,3657,3865,4348,4571,4870,5070,5483,6011,6428,6428,7378,7983,8721,9248,10133,10976,11859,13170,14378,15721,16901,18389,19654,22017,23671,24659,25896,27747,29781,32702,35264,37954,39880,42789,45345,47006,47006,49952,51521,53243,54702,55960,57125,58599,60156,61466,63372,64922,65974,65974,67885,70908,70908,72916,76791,79403,80563,81502,82139,83307,83422,83778,84515,84515,85968,87033,88117,88117,91554,93339,95140,97932,99922,101504,104346,106276,107506,107822,108362,109139,109137,109184,109409,109409,109910,110413,110413,114467,116773,119250,121362,121362,126390,128716,131710,133985,135903,137659,138999,140382,141315,143512,144683,146756,146756,149756,154986,156116,158080,160459,161726,163000,164834,167103,169080,171278,172339,174100,176661,176661,178186,181026,182429,183524,184683,186116,187209,188397,189418,190493,191314,192692,193808,195105,197283,198556,199617,200546,201530,202397,203304,204197,205012,205901,208098,209118,210318,211713,213115,214344,215702,216853,217585,218185,219198,220055,222364,222831,225699,228226,230130,232143,233897,235776,238876,240568,241962,243989,245839,247884,250414,251376,251373,254076,257289,257295,257254,261307,264267,264277,264464,271539,271825,275321,282215,284051,285463,287726,287831,288853,293282,294787,294897,294897,296918,298606,300711,302194,303994,306575,310350,312487,313628,313852,316246,316256,317047,318908,319463,320498,321990,322665,323367,324127,324709,325202,325821,326640,327314,328369,328944,330140,331070,331629,332266,332823,333311,333860,334296,334621,335052,335685,335685,336558,337031,337534,337875,338415,339387,339952,340463,340973,341440,341901,342490,343196,343787,344440,345301,346035,346585,347377,348377,349444,350548,351994,353259,354364,355061,356712,358651,360455,362608,364489,366125,368753,371615,374756,376757,378910
,Arauca,Colombia,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,7,7,7,7,8,8,8,8,19,26,26,29,62,64,76,81,83,85,85,86,104,106,121,121,124,133,133,136,137,140,142,152,154,157,160,163,170,178,182,194,197,202,214,225,245,311,319,342,367,378,378,425,454,502,524,547,567,621,651,673,704,743,755,755,766,802,802,833,900,951,987,1001,1018,1044,1045,1051,1065,1065,1122,1144,1170,1170,1224,1277,1311,1356,1427,1470,1518,1534,1576,1598,1619,1649,1649,1650,1661,1661,1666,1688,1688,1779,1831,1886,1959,1959,2108,2192,2257,2329,2384,2435,2520,2612,2653,2678,2708,2758,2758,2839,2936,2988,3013,3031,3085,3098,3130,3168,3200,3242,3267,3305,3362,3362,3424,3479,3494,3503,3535,3557,3572,3580,3604,3630,3640,3691,3721,3751,3773,3784,3794,3796,3819,3833,3857,3881,3902,3925,3958,3974,3984,4003,4042,4055,4061,4078,4093,4098,4120,4132,4144,4156,4163,4173,4191,4217,4228,4235,4256,4260,4279,4292,4300,4307,4313,4325,4340,4354,4364,4390,4406,4436,4442,4460,4473,4480,4502,4510,4525,4581,4617,4666,4701,4719,4719,4733,4780,4780,4841,4866,4915,4939,4949,4971,4987,5010,5034,5067,5093,5093,5110,5139,5149,5158,5176,5180,5190,5205,5207,5213,5220,5219,5224,5241,5243,5251,5254,5259,5265,5278,5279,5289,5304,5310,5313,5320,5320,5336,5343,5349,5356,5360,5368,5379,5383,5385,5385,5389,5393,5394,5402,5405,5410,5415,5416,5424,5424,5439,5443,5445,5449,5450,5464,5487,5519,5520,5520,5526,5533,5539,5550,5554,5560,5571
,Atlantico,Colombia,2173,2173,2190,2289,2390,2596,2707,2792,2792,2839,2972,3234,3391,4044,4337,4721,4721,4969,5342,5896,6686,6686,7190,7752,8149,8473,8719,9077,9383,9960,10476,11080,11980,12904,13652,14421,15287,16317,17524,20336,22240,24428,25686,26344,27095,28788,29592,31473,31473,33900,34602,35585,36901,37728,38624,39712,40553,41484,42109,42802,43527,44207,44999,45918,46617,46990,47530,48673,49508,50182,51004,51656,52278,53204,53662,53662,54557,55100,55563,55955,56294,56918,57303,57747,57951,58268,58574,58909,58909,59079,59841,59841,60064,60476,60858,61026,61181,61269,61382,61398,61458,61509,61509,61671,61771,61845,61845,62164,62449,62635,62816,63036,63250,63492,63682,63796,63828,63887,63941,63950,63954,64015,64015,64076,64164,64164,64496,64597,64717,64882,64882,65162,65393,65497,65648,65775,65982,66120,66237,66377,66463,66593,66785,66785,66892,67249,67478,67629,67815,67997,68219,68388,68573,68863,69169,69396,69658,69911,69911,70071,70419,70586,70813,70941,71120,71294,71438,71590,71772,71971,72172,72342,72532,72753,73023,73195,73415,73719,73947,74209,74591,74859,75202,75682,75961,76319,76720,76967,77110,77325,77895,78230,78640,79246,79884,80462,81006,81527,82198,82773,83557,84259,85019,85944,86164,86893,87316,87898,88298,88714,89432,89842,90101,90664,91184,91985,92543,93015,93662,95002,95314,96041,96641,97276,98239,99071,99737,101081,101706,101682,101832,102876,102876,104739,105713,106545,107407,107957,108577,109409,110005,110343,110686,111316,111565,111924,112723,113071,113366,113735,114066,114239,114624,114837,115029,115223,115433,115629,115910,116110,116272,116669,116880,117105,117302,117466,117706,118072,118366,118573,118751,118751,119443,119725,119906,120273,120701,121074,121675,122020,122502,122846,123363,123979,124445,125094,125523,126311,127253,128159,129706,130822,131737,132926,134124,135356,137149,139684,141278,143605,146311,149058,151830,154218,157160,160006,162027,164943,168370
,Bolivar,Colombia,1344,1344,1364,1452,1484,1577,1613,1685,1685,1748,1893,2122,2290,2814,2970,3173,3173,3285,3548,3759,4134,4134,4396,4530,4640,4747,4818,5033,5185,5507,5641,5869,6104,6358,6594,6845,7068,7300,7596,8452,8952,9507,9792,10025,10249,10720,10947,11351,11351,12090,12333,12690,13077,13343,13655,13876,14151,14448,14708,15048,15346,15666,15992,16264,16428,16679,16868,17262,17697,17947,18225,18442,18752,19242,19435,19435,20214,20523,20766,21051,21578,21710,21825,22017,22292,22401,22504,22822,22822,23071,23663,23663,23952,24295,24547,24671,24815,24893,25003,25010,25037,25162,25162,25630,25794,25895,25895,26413,26609,26747,26841,27088,27228,27386,27575,27633,27856,27914,28027,28027,28064,28254,28254,28286,28439,28439,28824,28961,29133,29296,29296,29559,29790,29933,30052,30169,30285,30382,30463,30531,30633,30824,30927,30927,31032,31211,31487,31598,31864,31925,32042,32202,32321,32455,32612,15780,32849,33010,33010,33101,33456,33632,33802,33868,33982,34078,34180,34408,34571,34760,34898,35051,35181,35405,35813,36023,36424,36631,37059,37359,37696,38067,38585,38969,39285,39686,40071,40277,40416,40697,40970,41412,41742,42277,42883,43679,44357,44827,45528,45950,46535,47037,47699,48075,48469,48876,49102,49335,49541,50075,50484,50687,50847,51197,51923,52331,52637,53046,53570,54479,54847,55150,55380,55600,56205,56643,56950,57766,58107,58105,58265,58723,58723,59772,60247,60670,60930,61161,61300,61576,61872,62173,62348,62575,62596,62865,63123,63261,63480,63607,63708,63837,63954,64025,64079,64131,64235,64333,64418,64478,64541,64587,64646,64679,64701,64732,64773,64857,65016,65157,65223,65223,65442,65561,65601,65704,65816,65894,65975,66072,66168,66228,66303,66394,66466,66537,66568,66666,66733,66790,66899,67026,67113,67246,67363,67461,67543,67664,67841,67995,68095,68177,68346,68566,68759,68884,69002,69140,69387
,Boyaca,Colombia,133,133,133,136,139,144,150,158,158,165,167,185,185,193,196,197,197,199,199,203,213,213,216,224,228,234,235,238,242,244,247,252,259,271,276,278,285,292,295,311,317,334,335,350,354,371,386,394,394,430,436,457,478,496,509,527,539,555,575,589,607,631,665,704,716,765,792,825,875,946,1047,1090,1177,1235,1337,1337,1473,1543,1645,1735,1825,1883,2023,2205,2326,2419,2578,2730,2730,2750,2932,2932,3108,3374,3632,3813,3919,4007,4088,4091,4120,4172,4172,4266,4325,4458,4458,4800,5031,5221,5358,5568,5753,5971,6165,6405,6444,6609,6682,6682,6711,6735,6735,6821,6924,6924,7190,7372,7600,7815,7815,8327,8742,9020,9384,9668,9984,10279,10442,10574,10750,10881,11104,11104,11361,11941,12216,12419,12613,12836,13064,13504,13849,14182,14446,14672,15080,15568,15568,15953,16388,16602,16758,16950,17221,17471,17702,17844,18047,18235,18475,18727,19071,19319,19519,19621,19776,20068,20306,20511,20745,20923,21147,21475,21654,21842,21979,22111,22259,22416,22585,22809,22922,23186,23381,23556,23819,24027,24159,24385,24673,24884,25150,25525,25716,26022,26190,26406,26540,26943,27272,27462,27587,27777,28264,28694,29002,29356,29947,30582,30796,31172,31372,31571,32225,32870,33348,33873,34384,34381,34734,35145,35145,36227,36630,37275,37742,38113,38558,38906,39547,39867,40203,40595,40646,40817,41261,41449,41757,41991,42176,42322,42495,42655,42772,42884,43035,43155,43288,43404,43523,43613,43682,43762,43816,43876,43940,44082,44230,44350,44444,44444,44649,44724,44811,44901,44946,45022,45093,45139,45171,45195,45244,45324,45392,45456,45500,45564,45603,45644,45690,45750,45814,45868,45962,46072,46147,46226,46339,46367,46401,46448,46572,46700,46865,46907,46940,46991,47107
,Caldas,Colombia,117,117,117,119,125,125,130,130,130,130,131,132,134,140,140,147,147,152,153,154,165,165,173,180,181,183,183,186,189,200,202,205,209,214,215,221,225,226,229,241,243,245,246,249,253,256,258,265,265,273,276,283,292,303,304,317,321,330,386,401,411,421,434,463,476,511,570,627,721,802,869,921,1015,1051,1079,1079,1165,1251,1325,1400,1467,1504,1574,1634,1705,1771,1906,1992,1992,2016,2157,2157,2250,2477,2659,2747,2815,2853,2959,2971,3023,3046,3046,3183,3236,3350,3350,3651,3795,3994,4139,4307,4545,4829,4984,5188,5208,5289,5356,5355,5357,5413,5413,5465,5527,5527,5769,5918,6170,6429,6429,6928,7206,7508,7823,8115,8442,8689,8852,9130,9285,9418,9797,9797,10150,10870,11285,11626,12010,12318,12567,12920,13391,13871,14369,14688,15466,16105,16105,16511,17297,17611,18029,18338,18857,19208,19513,19723,20022,20216,20590,20864,21263,21580,21806,21974,22274,22603,22972,23237,23673,23981,24268,24764,25021,25277,25480,25594,25685,25877,26113,26383,26540,26839,27019,27159,27363,27594,27749,28068,28394,28677,28962,29299,29452,29848,30022,30213,30346,30444,30799,31066,31150,31367,31750,32172,32516,32697,33081,33643,33842,34196,34506,34774,35473,36197,36706,37166,37662,37659,37893,38367,38367,39403,39825,40306,40634,40863,41188,41464,41868,42040,42208,42468,42487,42704,43043,43186,43384,43529,43625,43712,43813,43879,43964,44015,44100,44167,44236,44298,44356,44400,44447,44480,44501,44529,44563,44615,44690,44732,44777,44777,44881,44949,44988,45092,45165,45234,45309,45354,45429,45454,45516,45596,45681,45834,45870,45999,46124,46252,46342,46463,46580,46777,46938,47095,47206,47496,47673,47795,47926,48098,48496,48756,48994,49093,49230,49400,49663
,Capital District,Colombia,5682,5682,5720,6060,6155,6429,6742,6885,6885,6953,7206,7617,8105,9100,9671,10044,10044,10317,10714,10999,11955,11955,12255,12756,13065,13299,13484,13771,14099,14930,15228,15566,16217,16755,17323,17866,18421,19075,19668,22047,23318,24447,25614,26411,27281,29333,32222,33753,33753,37916,40090,42179,44015,46107,48624,51123,53395,55013,56602,57838,59566,61188,62758,65361,70225,75551,80857,84153,87444,92318,97193,101852,106822,109655,112187,112187,122221,125529,128820,132641,135948,141204,145433,148540,151131,155509,159074,160976,160976,161768,166329,166329,168405,176313,179941,187321,192696,195179,197710,198249,198792,200757,200757,205741,206506,209455,209455,217189,221533,225706,229459,232255,234364,235266,236897,238368,238639,239144,239626,244201,248307,250187,250187,251863,254630,254630,255423,256202,258316,261261,261261,265955,267440,268385,269155,270432,271761,273138,273931,277868,280862,284957,286402,286402,287127,291598,292242,294061,294790,297251,301106,302972,303891,304855,304856,311652,314751,316563,316563,318012,321548,322262,323887,325176,326296,327529,328719,329989,332620,337189,339032,341048,342957,343622,344495,345646,347323,349300,351110,353596,355747,358054,361727,362670,366092,368298,370274,371802,372955,374434,375519,377320,380449,382301,384310,387056,389778,393400,394923,399073,401986,406471,409088,410073,417866,421935,425697,430079,433529,436247,437368,440366,445357,447874,453954,457733,459060,461805,467394,471883,479361,485605,490332,493451,503530,507840,514232,519329,520853,524480,527286,536064,536064,543945,546658,549710,555981,562295,569523,571471,577566,582932,586843,589498,592210,593329,598446,601035,603240,605210,606992,608612,611150,612836,614408,617227,618717,620091,621069,622643,624325,625619,627213,628494,629917,630732,631750,632836,633713,634594,635448,635448,638247,639160,639938,640748,641525,642312,643226,643706,644557,645337,646038,646834,647858,648636,650719,651563,652540,653658,654503,655505,656275,657581,658376,659145,660006,660991,661802,663321,664404,665264,666379,667488,668749,670247,672528,673517,675448
,Caqueta,Colombia,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,25,26,32,36,38,40,45,52,54,55,69,69,97,116,128,155,200,231,248,255,359,394,466,492,539,693,762,860,958,1009,1155,1307,1520,1721,1791,2014,2260,2491,2491,2968,3082,3220,3463,3587,3763,3918,3992,4122,4229,4346,4525,4525,4930,5215,5215,5417,5915,6048,6161,6218,6270,6384,6389,6413,6438,6438,6504,6679,6718,6718,6799,6889,6957,7019,7115,7352,7540,7605,7732,7744,7820,7841,7842,7858,7868,7868,7902,8006,8006,8427,8482,8543,8691,8691,8840,8973,9082,9199,9276,9373,9476,9558,9611,9687,9741,9841,9841,9894,10032,10136,10183,10302,10336,10382,10458,10536,10661,10742,10863,10947,11006,11006,11077,11243,11317,11432,11491,11562,11615,11637,11679,11761,11789,11857,11889,11934,11999,12068,12112,12173,12213,12247,12293,12351,12391,12443,12502,12553,12601,12640,12664,12670,12713,12787,12822,12837,12906,12941,12990,13065,13109,13166,13236,13331,13408,13480,13552,13600,13652,13684,13707,13732,13786,13830,13858,13879,13905,13943,13982,14019,14055,14170,14298,14327,14393,14410,14447,14681,14789,14816,14867,14911,14910,14961,15002,15002,15178,15267,15357,15373,15389,15409,15437,15529,15554,15579,15609,15608,15646,15687,15716,15865,15884,15904,15913,15953,15963,15979,15978,15991,16005,16033,16037,16060,16074,16086,16092,16103,16111,16120,16137,16150,16168,16173,16173,16186,16188,16200,16213,16230,16239,16250,16255,16254,16257,16264,16274,16287,16291,16294,16300,16303,16305,16308,16310,16315,16323,16324,16328,16328,16335,16343,16347,16356,16359,16365,16375,16386,16387,16389,16398,16403
,Casanare,Colombia,31,31,31,31,32,33,33,33,33,33,33,33,33,34,35,35,35,35,35,35,36,36,45,45,47,47,48,48,49,49,49,49,50,51,56,58,59,61,62,65,69,73,82,82,83,87,96,98,98,111,112,113,119,121,125,134,144,148,154,161,172,178,185,195,201,207,222,241,266,287,302,327,350,385,425,425,499,517,536,575,593,611,644,671,705,729,756,793,793,813,839,839,876,977,1031,1049,1071,1091,1120,1123,1132,1152,1152,1203,1216,1240,1240,1356,1395,1466,1515,1570,1666,1804,1859,1991,1999,2062,2096,2096,2099,2110,2110,2128,2160,2160,2227,2340,2416,2504,2504,2707,2852,2974,3068,3155,3290,3445,3520,3627,3684,3789,3943,3943,4129,4279,4348,4385,4466,4548,4611,4714,4826,4924,5032,5122,5212,5304,5304,5376,5453,5495,5545,5596,5657,5746,5777,5799,5865,5919,5959,6038,6091,6129,6199,6240,6456,6482,6529,6571,6629,6791,6848,6940,6996,7121,7177,7192,7205,7232,7261,7332,7386,7422,7455,7496,7566,7593,7625,7710,7769,7832,7895,7978,8008,8079,8118,8169,8210,8270,8331,8382,8404,8454,8616,8703,8774,8835,8923,9016,9070,9160,9229,9309,9438,9596,9683,9781,9872,9871,9953,10009,10009,10231,10333,10446,10526,10578,10647,10721,10802,10885,10945,11005,11007,11078,11173,11232,11288,11322,11354,11375,11411,11428,11449,11464,11507,11536,11576,11598,11615,11631,11646,11659,11683,11697,11721,11771,11803,11827,11850,11850,11917,11934,11950,11993,12011,12029,12043,12054,12074,12091,12101,12117,12152,12176,12186,12213,12233,12249,12278,12320,12361,12383,12421,12451,12466,12508,12555,12569,12594,12622,12658,12690,12735,12747,12774,12789,12814
