Admin2,Province/State,Country/Region,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021
,Baden-Wurttemberg,Germany,29400,29700,29700,30000,30200,30300,30600,30800,31000,31100,31200,31300,31400,31500,31595,31595,31900,31900,31900,32100,32200,32209,32400,32400,32500,32506,32600,32700,32717,32800,32800,32800,32900,32907,33000,33000,33017,33100,33100,33114,33200,33200,33223,33252,33300,33300,33300,33300,33300,33518,33570,33570,33570,33570,33570,33575,33624,33643,33643,33643,33643,33780,33980,33980,34050,34050,34050,34150,34150,34150,34150,34260,34260,34260,34260,34291,34400,34401,34448,34448,34448,34616,34700,34743,34812,34889,34889,34889,34968,35115,35200,35300,35400,35400,35500,35500,35613,35704,35788,35866,35934,35997,36103,36212,36357,36481,36630,36717,36794,36976,37173,37437,37642,37913,38094,38252,38469,38736,39012,39246,39456,39608,39764,39954,40202,40483,40734,40995,41228,41370,41627,41900,42141,42417,42635,42844,43003,43229,43542,43786,44032,44284,44498,44641,45107,45426,45704,45995,46244,46403,46640,46950,46950,47737,47737,48162,48453,48692,49070,49618,50114,51191,51191,52088,52638,53193,53193,54611,54611,56006,56653,57478,58552,58552,59655,60865,62190,63194,64081,66745,66745,68320,69751,71396,72689,73833,75390,77338,79536,81728,83834,85819,87190,91279,93930,93930,96320,98910,100985,102558,104638,107339,109934,112448,116992,118282,120243,122484,124940,127469,130210,132464,134003,136052,138598,141501,144298,147244,149687,151472,153760,156602,160158,163732,166728,169337,171336,173953,176933,180506,184170,184170,190409,192449,194911,198009,201525,204770,207633,210300,212438,215062,218170,221476,224722,227629,227629,229957,234191,234191,239758,242272,244388,246280,247746,249669,251902,254332,281927,257913,257913,260466,260466,263733,265673,267688,269409,271050,272126,273366,273366,276773,278383,279898,281315,282206,283292,284602,286072,287346,288454,289463,290086,290824,291767,292765,293779,293779,295477,296017,296774,296774,298502,299439,300303,301124,301724,302479,303402,304335,305045,305970,306789,306789,308317,309334,310349,310343,312451,313465,314243,315353,316609
,Bayern,Germany,39140,39510,39880,40060,40260,40400,40750,41060,41340,41530,41740,41850,42100,42310,42480,42660,42820,42920,42920,43140,43310,43480,43480,43600,43620,43700,43800,43900,44000,44100,44200,44200,44300,44300,44400,44500,44500,44600,44600,44700,44700,44900,45000,45100,45100,45100,45100,45100,45100,45210,45250,45290,45400,45400,45500,45500,45600,45600,45700,45700,45700,45780,45870,45870,45960,46050,46200,46300,46300,46400,46500,46600,46600,46700,46800,46800,46900,46930,46990,47100,47200,47300,47400,47400,47531,47531,47800,47900,48000,48100,48200,48300,48400,48436,48500,48600,48800,48867,48977,49084,49182,49267,49444,49624,49799,50014,50250,50386,50553,50855,51149,51474,51819,52085,52313,52478,52818,53157,53552,53914,54171,54317,54475,54739,55072,55416,55743,56117,56398,56605,57019,57456,57962,58332,58672,58945,59178,59589,60015,60461,60946,61291,61555,61759,62509,62899,63275,63645,63905,64104,64535,64535,64971,65409,65787,66242,66604,66842,67313,67841,68409,69028,69703,70205,70688,71492,72312,73434,74607,76833,77609,78901,80378,80378,82361,84397,86297,87989,89289,93412,93412,95719,97857,100219,102451,104056,106402,109022,112183,115184,118444,121073,123171,126063,129399,133008,136575,140272,142800,144755,147716,151211,155194,159039,162974,167823,171004,174546,178443,182397,186023,189210,191165,193749,197117,201408,205799,209803,212933,215203,218473,222633,226985,231435,235381,238404,241133,244449,248482,253015,257379,257379,264172,266937,270001,274124,278643,282233,285886,288726,291167,294588,298935,303462,307616,311145,311145,314041,319013,319013,326482,329651,332844,335561,337535,339898,343152,347096,384217,352544,352544,356201,356201,361064,363459,366171,368953,371235,372635,374298,374298,378694,381233,383369,385086,386315,387712,389624,391682,393361,394803,396301,397260,398194,399692,401226,402570,402503,405108,405916,406841,406841,409686,410970,412305,413339,414152,414995,416370,417788,419114,420463,421833,421831,423758,425250,426828,426828,430033,431273,432227,433345,434935
,Berlin,Germany,5737,5787,5825,5850,5880,5918,5959,5987,6018,6049,6060,6086,6123,6175,6208,6240,6259,6279,6319,6358,6388,6412,6443,6455,6470,6495,6531,6559,6582,6582,6627,6656,6685,6725,6778,6806,6850,6874,6886,6920,6961,7032,7081,7125,7196,7217,7272,7349,7433,7515,7612,7646,7670,7738,7783,7828,7896,7938,7967,7995,8036,8069,8114,8169,8199,8235,8250,8283,8312,8356,8386,8418,8429,8450,8482,8514,8542,8572,8590,8627,8658,8705,8748,8800,8857,8888,8908,8936,8984,9035,9088,9132,9193,9239,9273,9322,9376,9442,9513,9609,9660,9721,9806,9875,9972,10051,10129,10185,10220,10312,10387,10440,10507,10566,10610,10662,10740,10833,10931,11012,11078,11124,11178,11272,11367,11450,11532,11608,11667,11724,11763,11843,11935,12061,12176,12242,12307,12457,12595,12751,12888,13060,13168,13270,13557,13726,13901,14106,14257,14375,14622,14847,15077,15341,15652,15850,16065,16369,16661,16759,17377,17736,18032,18248,18600,18955,19063,19753,19868,20526,20814,21266,21740,21850,22417,23001,23652,24025,24368,25569,26401,27085,27943,28424,28923,29700,29927,30940,31806,32827,33850,34803,35781,36876,38117,39260,40528,41246,41780,43227,44614,45910,47197,48499,49231,49705,51095,52363,53921,55369,56840,57526,58198,59421,60703,61914,63184,64529,65235,65841,67026,68163,69394,70636,71848,72427,72771,73754,74744,75918,77315,77560,78947,79296,80457,81536,82837,84112,85203,86037,86643,88003,89036,90530,91830,93003,93262,93823,95600,95722,98093,99001,99675,100596,101197,102085,102879,103721,116283,105033,105113,106086,106105,107650,108540,109552,110416,110818,111145,112023,112038,113443,114028,114773,115124,115338,115881,116510,117094,117577,118071,118431,118666,119154,119576,119919,120254,120315,120864,121073,121566,121584,122319,122739,123172,123489,123652,124030,124444,124843,125226,125710,125978,126042,126579,126977,127430,127503,128226,128582,128804,129243,129774
,Brandenburg,Germany,2700,2800,2800,2800,2800,2900,2900,2900,2900,2900,2900,3000,3000,3000,3000,3000,3000,3000,3000,3010,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3210,3210,3220,3220,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3260,3260,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3350,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3410,3410,3410,3410,3410,3446,3453,3464,3470,3477,3480,3491,3511,3523,3541,3548,3560,3585,3598,3603,3622,3641,3659,3665,3673,3687,3699,3710,3714,3715,3726,3739,3752,3764,3772,3790,3792,3794,3804,3817,3828,3858,3863,3880,3889,3898,3925,3942,3942,3975,3988,4001,4049,4071,4090,4116,4138,4149,4177,4211,4253,4301,4342,4380,4414,4488,4555,4555,4715,4807,4884,4961,5071,5203,5203,5447,5447,5734,5846,6050,6266,6266,6665,6888,7088,7271,7532,7812,8092,8424,8688,8934,9204,9541,9892,10289,10662,10972,11290,11509,11822,12136,12517,12915,13325,13672,13940,14319,14776,15230,15739,16192,16601,16908,17368,17751,18219,18710,19202,19624,19900,20383,20864,21414,22028,22613,23181,23555,24124,24755,25450,26177,26817,27315,27720,28395,29209,30171,31166,31166,32460,32837,33476,34370,35273,36057,36889,37475,37939,38798,39870,40873,41779,42929,42929,43514,45004,45004,47168,48152,49141,49828,50339,51104,52061,53093,64788,54747,54747,55662,55662,57330,58136,59031,59742,60188,60651,61117,61135,62567,63203,63766,64174,64605,64815,65350,65901,66378,66775,67111,67332,67549,67924,68289,68593,68593,69302,69450,69633,69633,70291,70588,70888,71095,71227,71414,71686,72061,72341,72600,72817,72817,73207,73455,73735,73735,74270,74496,74597,74849,75119
,Bremen,Germany,800,800,800,800,900,900,1000,1000,1000,1000,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1505,1505,1517,1518,1533,1539,1556,1560,1564,1564,1564,1589,1596,1599,1600,1604,1604,1605,1608,1611,1616,1619,1623,1623,1623,1626,1629,1634,1635,1635,1635,1635,1638,1638,1645,1647,1656,1656,1656,1664,1673,1674,1680,1684,1684,1684,1697,1699,1709,1717,1721,1721,1721,1726,1730,1741,1744,1753,1758,1759,1767,1767,1780,1785,1774,1800,1805,1815,1821,1828,1835,1843,1851,1862,1870,1887,1898,1914,1929,1943,1953,1964,1974,1987,1997,2013,2015,2026,2031,2039,2052,2066,2077,2084,2089,2099,2119,2127,2126,2141,2148,2149,2162,2175,2203,2232,2263,2263,2263,2324,2355,2392,2428,2473,2473,2473,2502,2542,2593,2683,2807,2807,2807,2933,2936,3162,3259,3347,3347,3347,3444,3546,3678,3907,4109,4109,4109,4441,4857,5163,5364,5561,5561,5561,5964,6233,6493,6738,6897,6897,6897,7254,7450,7644,7812,7958,7958,7958,8271,8514,8681,8805,8936,8936,8936,9200,9393,9513,9577,9713,9713,9713,9934,10120,10146,10274,10378,10378,10378,10602,10790,10950,10950,10950,10950,10950,11544,11544,11949,12067,12067,12067,12067,12464,12652,12709,12772,12808,12808,12808,12927,13225,13312,13358,13406,13406,13406,13607,13774,13817,13892,13957,13957,13957,14147,14255,14315,14426,14588,14588,14588,14588,14629,14911,14999,15071,15071,15071,15202,15268,15552,15643,15787,15787,15882,15960,16071,16173,16236,16352,16352,16352,16352,16551,16630,16696,16747,16747,16747,16747,16962,17048,17123,17215,17215,17215,17355,17438,17528,17599,17697,17697,17697,17845,17938,18019,18077,18184,18184,18184,18293
,Hamburg,Germany,4400,4400,4400,4500,4500,4500,4600,4600,4600,4600,4600,4700,4700,4700,4700,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,5200,5200,5217,5261,5282,5308,5321,5335,5365,5401,5423,5500,5500,5506,5543,5574,5617,5647,5679,5698,5714,5740,5765,5786,5813,5839,5864,5889,5922,5964,6009,6058,6100,6129,6154,6187,6244,6309,6353,6396,6431,6462,6495,6537,6580,6635,6678,6710,6748,6823,6889,6937,6993,7048,7086,7156,7221,7300,7400,7517,7611,7667,7747,7829,7912,8027,8102,8180,8251,8353,8458,8500,8682,8700,8927,9007,9167,9344,9344,9562,9707,9900,9920,10168,10353,10400,10603,10809,11043,11371,11400,11600,11810,12047,12400,12900,13200,13404,13718,14218,15071,15100,15600,15814,16358,16400,16900,17400,17900,18400,19052,19475,19971,20433,20848,21190,21413,21592,22000,22363,22821,23265,23667,23861,24014,24238,24541,24767,24942,25094,25202,25414,25634,25938,26189,26660,26700,27236,27512,27864,28317,28836,29399,29928,30329,30654,31080,31679,32277,32825,33352,33400,33800,34585,34600,35623,35916,36114,36334,36580,37055,37462,37963,38263,38531,38531,39033,39033,39865,40246,40604,40887,41071,41301,41627,41627,42235,42602,42900,43103,43447,43649,43879,44184,44482,44743,44972,45159,45386,45635,45894,46139,46200,46551,46743,46963,47000,47342,47569,47793,47980,48123,48311,48490,48680,48902,49134,49312,49312,49733,49913,50168,50200,50609,50826,51027,51204,51410
,Hessen,Germany,7600,7900,7900,8000,8100,8200,8200,8300,8400,8400,8400,8500,8600,8700,8700,8800,8900,8900,9000,9000,9100,9100,9200,9200,9200,9300,9300,9400,9400,9500,9500,9500,9600,9600,9600,9600,9600,9700,9700,9700,9800,9800,9800,9800,9900,9900,9900,9900,9909,9952,9993,10009,10100,10100,10100,10200,10200,10200,10200,10200,10200,10250,10301,10301,10301,10422,10422,10550,10550,10600,10600,10700,10700,10700,10700,10800,10800,10800,10800,10900,11000,11000,11038,11100,11134,11208,11300,11300,11300,11400,11500,11530,11600,11700,11715,11800,11900,11980,12064,12183,12262,12311,12419,12525,12675,12816,12983,13112,13202,13350,13497,13682,13848,14010,14118,14202,14354,14494,14592,14707,14802,14878,14949,15070,15186,15294,15429,15552,15649,15734,15861,15966,16078,16174,16288,16375,16463,16574,16671,16797,16908,17001,17088,17179,17466,17613,17769,17939,18083,18176,18344,18537,18760,18995,19270,19491,19664,19887,20184,20497,20829,21146,21457,21711,22139,22641,22641,23913,23913,25005,25417,26102,26835,26835,27736,28596,29728,30620,31181,33191,33191,34540,35623,36774,37773,38465,39520,40706,42065,43415,44950,46147,46875,48143,49621,51415,53169,54826,56180,57034,58246,59866,61697,63402,65136,67539,68981,70536,72307,73971,75718,77007,77837,79222,80864,82877,84901,86624,88001,88903,90203,91819,93807,95652,97505,99018,99916,101234,102717,104381,106220,106220,109223,110076,111428,113076,115004,116894,118324,119509,120292,121514,123141,124901,126826,128574,128574,129877,132119,132119,135810,137354,138465,139468,140243,141286,142651,144413,163018,146967,146967,148626,148626,150834,152590,153924,155314,156292,156843,157646,157646,160028,161019,162067,162862,163394,164030,164872,165916,166842,167634,168223,168589,169099,169743,170535,171198,171198,172536,172912,173390,173390,174857,175528,176142,176788,177121,177586,178199,178881,179479,180123,180600,180600,181450,182124,182737,182737,184186,184836,185212,185798,186540
,Mecklenburg-Vorpommern,Germany,700,700,700,700,700,700,700,700,702,702,707,707,707,707,707,720,721,722,722,722,722,722,722,730,730,730,730,730,730,738,739,739,740,741,744,749,750,752,753,753,758,760,762,762,763,764,765,767,767,769,769,772,775,775,775,777,777,779,781,782,782,784,784,784,784,784,784,784,784,785,785,786,786,786,786,786,786,787,789,791,792,793,794,799,805,820,828,832,833,841,848,855,857,863,877,882,884,889,894,906,913,915,917,925,932,936,938,946,949,949,956,960,963,968,971,973,976,980,982,987,991,992,992,998,1002,1007,1010,1012,1014,1017,1026,1029,1032,1038,1044,1044,1045,1053,1059,1065,1072,1085,1085,1089,1108,1117,1124,1134,1149,1157,1166,1206,1220,1246,1270,1290,1303,1322,1345,1345,1398,1419,1461,1475,1505,1555,1555,1644,1644,1725,1760,1811,1881,1881,2041,2104,2104,2160,2242,2356,2440,2522,2634,2764,2882,2991,3043,3132,3313,3466,3587,3694,3790,3845,3929,4025,4137,4270,4390,4486,4553,4629,4733,4870,4975,5097,5181,5237,5329,5497,5650,5763,5845,5962,6081,6245,6393,6538,6647,6743,6890,7092,7393,7612,7824,8059,8163,8410,8625,8843,9130,9130,9469,9644,9857,10120,10393,10517,10705,10854,10972,11255,11593,11803,12020,12159,12370,12510,13099,13099,13625,13822,14021,14179,14534,14751,15011,15233,18784,15715,15755,16124,16235,16669,17092,17232,17500,17688,17828,18021,18073,18424,18645,18857,18977,19125,19341,19514,19786,19938,20087,20220,20315,20525,20688,20824,20966,21135,21268,21414,21543,21663,21968,22124,22303,22415,22577,22701,22938,23094,23265,23427,23573,23625,23894,24128,24329,24329,24677,24815,24947,25117,25273
,Niedersachsen,Germany,9500,9600,9600,9800,9900,9900,10000,10100,10200,10200,10200,10300,10300,10400,10400,10600,10600,10600,10700,10700,10800,10900,10900,11000,11000,11000,11100,11200,11200,11200,11300,11300,11400,11400,11600,11600,11600,11700,11700,11800,11900,12000,12000,12100,12100,12100,12100,12100,12250,12265,12268,12334,12500,12600,12700,12750,12800,12800,12800,12800,12800,12800,12806,12855,12890,12934,12951,13111,13111,13111,13111,13200,13200,13200,13200,13200,13300,13300,13300,13400,13400,13436,13464,13464,13515,13544,13560,13560,13575,13700,13700,13730,13800,13800,13800,13900,14000,14050,14121,14221,14281,14311,14376,14458,14541,14630,14700,14773,14809,14913,15021,15112,15180,15264,15329,15376,15476,15570,15658,15745,15829,15884,15924,16007,16122,16218,16293,16423,16482,16542,16671,16759,16872,16969,17076,17180,17264,17400,17546,17667,17821,17978,18069,18168,18462,18620,18763,18962,19080,19169,19351,19557,19729,19966,20270,20533,20662,20889,21219,21611,21976,22367,22658,22925,23275,23726,23726,24739,24739,25585,26002,26509,27197,27197,28013,28910,29770,30553,31098,32926,32926,34017,35213,36450,37458,38274,39333,40511,41801,42993,44138,45324,46108,47137,48386,49879,51259,52733,53789,54607,55774,57054,58524,59831,61202,62929,63986,65090,66337,67551,68675,69622,70244,71241,72332,73428,74650,75921,76803,77397,78440,79710,80921,82164,83425,84470,85140,86211,87411,88838,90125,90125,92555,93305,94504,95775,97083,98310,99235,100194,101048,102222,103566,105228,106528,107454,107454,108355,110640,110640,113959,115395,116658,117758,118425,119410,120781,122090,122090,124318,124318,125876,125876,128032,129230,130244,131277,132174,132710,133487,133487,135643,136522,137512,138376,138851,139551,140451,141398,142245,143118,143759,144276,144910,145759,146681,147676,147676,149424,149936,150672,150672,152505,153364,154200,154995,155510,156224,157085,158020,158786,159634,160291,160288,161437,162262,163139,163139,164780,165595,166053,166847,167855
,Nordrhein-Westfalen,Germany,31300,31500,31500,31900,32200,32400,32700,32900,33100,33300,33400,33600,33800,34000,34100,34300,34300,34500,34500,34800,35000,35100,35200,35300,35400,35500,35700,35700,35737,36000,36100,36100,36300,36400,36600,36600,36600,36800,36900,37000,37200,37300,37400,37500,37600,37700,37700,37700,37700,37853,37974,39222,39800,40000,40200,40400,40700,40900,41000,41100,41100,41244,41386,41591,41848,41904,42300,42400,42500,42700,42900,43000,43200,43200,43300,43500,43700,43868,44151,44417,44417,44620,44800,45000,45323,45532,45740,45800,46000,46400,46600,46838,47192,47310,47500,47942,48707,48973,49289,49947,50411,50411,50411,51380,51884,52265,52620,52620,52620,53110,53745,54084,54672,54921,54921,54921,55367,55918,56206,56620,56751,56751,56751,57297,57297,57719,58460,58524,58524,58524,58815,59656,59340,60171,60388,60388,60388,60900,62052,62341,62341,62530,62792,63082,64068,64624,65151,65752,66256,66639,67129,67129,67816,68473,69183,70000,70602,71139,71956,72807,73785,74816,75960,77060,77982,79159,80545,82054,83725,86841,88154,90156,92392,92392,95140,97827,100887,103662,105872,111342,111342,115152,118827,122653,125857,128399,131792,135693,139851,143888,148023,151513,154562,158342,163057,167999,173105,178315,182205,185347,189636,194490,199410,204396,209300,215744,219774,223975,228444,232816,237134,240428,242720,246364,250551,255063,260253,264825,268153,270511,274530,278868,283693,289063,293690,297114,299683,303674,308312,313172,318212,318212,326307,328729,332584,337139,342393,346789,350594,353548,356170,359623,364010,369114,373088,376568,376568,379549,385774,385774,395294,398951,402457,405101,407194,410173,413744,417935,417935,423848,423848,428092,428092,433906,437915,441406,444608,447094,448591,450894,450894,456798,459900,462518,464661,466028,467868,470308,472889,475130,477382,479310,480384,481884,483618,485623,487366,487366,490807,491934,493315,493315,497096,499124,501052,502640,503555,504957,506630,508513,510321,512135,513470,513470,515944,517728,519709,519709,523410,525001,526154,527767,529987
