Admin2,Province/State,Country/Region,07-12-2022,07-13-2022,07-14-2022,07-15-2022,07-16-2022,07-17-2022,07-18-2022,07-19-2022,07-20-2022,07-21-2022,07-22-2022,07-23-2022,07-24-2022,07-25-2022,07-26-2022,07-27-2022,07-28-2022,07-29-2022,07-30-2022,07-31-2022,08-01-2022,08-02-2022,08-03-2022,08-04-2022,08-05-2022,08-06-2022,08-07-2022,08-08-2022,08-09-2022,08-10-2022,08-11-2022,08-12-2022,08-13-2022,08-14-2022,08-15-2022
,Cherkasy Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chernihiv Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chernivtsi Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crimea Republic*,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dnipropetrovsk Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donetsk Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ivano-Frankivsk Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kharkiv Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kherson Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khmelnytskyi Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kiev,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kiev Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kirovohrad Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luhansk Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lviv Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mykolaiv Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odessa Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poltava Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rivne Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sevastopol*,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sumy Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ternopil Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vinnytsia Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volyn Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zakarpattia Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zaporizhia Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zhytomyr Oblast,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
